beerName,upc,quantityOnHand,price,categories
Bright Wolf #01229,010000001229,352,11.51,NEIPA;Porter;Sour
Dark Wolf #01230,010000001230,364,10.86,Barleywine;NEIPA
Crisp Monk #01231,010000001231,233,11.18,Sour
Juicy River #01232,010000001232,471,3.92,Barleywine;Dubbel;Stout
Dry Rocket #01233,010000001233,20,12.19,Dubbel;Stout
Wild River #01234,010000001234,155,7.51,IPA;Kölsch;Porter
Dry Oak #01235,010000001235,24,7.73,Sour;Wheat
Roasty Comet #01236,010000001236,62,12.70,Lager;Pilsner
Bright Wolf #01237,010000001237,293,7.83,Bock;Session IPA;Tripel
Dry Harbor #01238,010000001238,390,4.32,Barleywine;Gose;Porter
Smooth Fox #01239,010000001239,409,9.87,Bock;Pale Ale;Tripel
Juicy Comet #01240,010000001240,490,10.56,Pilsner;Sour
Hoppy Forge #01241,010000001241,322,7.81,Saison
Crisp Monk #01242,010000001242,489,12.58,Kölsch
Juicy Monk #01243,010000001243,384,11.23,Stout
Juicy Harbor #01244,010000001244,492,1.87,Pale Ale;Wheat
Dry Wolf #01245,010000001245,43,12.41,Bock;Kölsch
Hoppy Wolf #01246,010000001246,441,1.96,Hefeweizen;Sour
Bright Comet #01247,010000001247,440,12.30,Amber;Bock
Crisp Fox #01248,010000001248,50,12.58,Brown Ale;Porter
Dark Rocket #01249,010000001249,393,3.32,Brown Ale;Hefeweizen
Dark Comet #01250,010000001250,314,8.15,IPA;Lager
Wild Oak #01251,010000001251,50,8.04,Hefeweizen;Tripel
Wild Oak #01252,010000001252,482,3.96,Wheat
Golden Forge #01253,010000001253,300,6.33,Barleywine;Bock;NEIPA
Crisp Rocket #01254,010000001254,31,8.00,Hefeweizen;Pilsner;Saison
Roasty Comet #01255,010000001255,208,6.27,Amber
Juicy Forge #01256,010000001256,345,3.56,Porter;Saison
Wild Forge #01257,010000001257,208,10.62,NEIPA
Golden Harbor #01258,010000001258,191,12.55,Pale Ale;Saison
Bright Cloud #01259,010000001259,231,2.34,Gose
Dry Rocket #01260,010000001260,334,4.91,Lager
Roasty Rocket #01261,010000001261,306,6.62,Dubbel;NEIPA;Wheat
Wild Comet #01262,010000001262,82,12.42,Brown Ale
Crisp Oak #01263,010000001263,357,4.00,Amber;Saison
Bright Monk #01264,010000001264,312,11.82,Amber;Tripel
Roasty Rocket #01265,010000001265,125,8.07,Gose;Wheat
Dry River #01266,010000001266,8,4.22,Barleywine
Roasty Comet #01267,010000001267,461,1.68,Hefeweizen;Saison
Roasty Oak #01268,010000001268,275,3.15,Saison
Hoppy Wolf #01269,010000001269,344,4.01,Bock;Dubbel
Bright Harbor #01270,010000001270,429,1.66,Gose
Smooth Monk #01271,010000001271,227,1.68,Amber;IPA
Smooth Monk #01272,010000001272,46,7.69,Pale Ale;Session IPA
Smooth Comet #01273,010000001273,143,11.58,IPA;Wheat
Bright Fox #01274,010000001274,445,7.17,Saison;Sour;Wheat
Dry Forge #01275,010000001275,289,5.08,Kölsch
Dark Fox #01276,010000001276,65,6.80,Amber;NEIPA
Golden Comet #01277,010000001277,496,12.40,Gose;Saison
Hoppy Oak #01278,010000001278,328,2.55,Barleywine;Hefeweizen
Wild Fox #01279,010000001279,348,12.10,Dubbel;NEIPA;Session IPA
Hoppy Monk #01280,010000001280,24,7.18,Gose;Saison;Tripel
Hoppy Oak #01281,010000001281,99,8.34,Kölsch
Hoppy Monk #01282,010000001282,500,10.16,Pale Ale
Golden Harbor #01283,010000001283,168,7.85,Stout
Hoppy Wolf #01284,010000001284,221,1.98,Amber;Pale Ale
Crisp Wolf #01285,010000001285,122,8.46,Tripel
Juicy Monk #01286,010000001286,483,2.98,Barleywine;Gose;Stout
Crisp Comet #01287,010000001287,469,2.17,Pilsner;Porter;Tripel
Hoppy Wolf #01288,010000001288,28,7.66,Lager;Pilsner;Stout
Juicy Comet #01289,010000001289,150,9.30,Hefeweizen;Pale Ale;Stout
Dry Forge #01290,010000001290,5,10.77,Gose;Hefeweizen;Stout
Smooth Comet #01291,010000001291,232,12.08,Kölsch;Wheat
Crisp Fox #01292,010000001292,6,2.87,Kölsch;Porter
Juicy Rocket #01293,010000001293,181,10.11,Barleywine;Gose;Sour
Golden Harbor #01294,010000001294,408,2.39,Porter
Wild Forge #01295,010000001295,223,11.99,Brown Ale;Kölsch
Juicy Harbor #01296,010000001296,75,11.10,Barleywine;Tripel
Wild River #01297,010000001297,496,1.65,Lager;Pale Ale
Juicy Cloud #01298,010000001298,439,2.60,Dubbel;Kölsch;Wheat
Golden Fox #01299,010000001299,174,5.36,Gose;Kölsch;Tripel
Dry Rocket #01300,010000001300,214,8.22,Gose;Stout
Hoppy Wolf #01301,010000001301,112,1.56,Gose;Pale Ale
Dry Monk #01302,010000001302,122,11.33,Bock;Wheat
Bright Harbor #01303,010000001303,422,1.62,IPA;Pilsner
Smooth Comet #01304,010000001304,284,3.84,Brown Ale;Gose
Golden Forge #01305,010000001305,467,8.86,IPA
Golden Monk #01306,010000001306,145,5.05,Amber;Sour
Smooth Cloud #01307,010000001307,125,5.14,IPA;Sour
Wild Fox #01308,010000001308,10,4.30,Stout;Tripel;Wheat
Wild Wolf #01309,010000001309,122,9.06,NEIPA;Sour
Dry Oak #01310,010000001310,449,2.82,Porter
Dark Monk #01311,010000001311,98,12.39,Dubbel;Hefeweizen;Tripel
Golden Comet #01312,010000001312,390,5.36,Porter;Tripel
Golden Comet #01313,010000001313,322,7.22,Kölsch;NEIPA
Roasty Monk #01314,010000001314,372,3.15,Barleywine;Pilsner;Sour
Juicy Oak #01315,010000001315,384,11.91,NEIPA;Session IPA
Roasty Harbor #01316,010000001316,164,9.14,Amber;Barleywine;Session IPA
Dry Oak #01317,010000001317,326,2.23,Pale Ale;Wheat
Roasty Monk #01318,010000001318,202,5.96,Bock;Hefeweizen
Dry Harbor #01319,010000001319,478,9.15,Pilsner;Saison
Dark Fox #01320,010000001320,151,10.59,Kölsch;Pale Ale
Hoppy Wolf #01321,010000001321,262,8.37,Barleywine;Gose;Hefeweizen
Bright River #01322,010000001322,411,11.67,Amber;Bock
Hoppy Harbor #01323,010000001323,226,6.27,Dubbel;Pilsner
Crisp Rocket #01324,010000001324,431,11.76,Amber
Golden Fox #01325,010000001325,60,2.95,Lager;Saison
Golden River #01326,010000001326,100,8.23,Amber;Brown Ale
Golden Forge #01327,010000001327,70,12.61,Brown Ale;IPA
Wild River #01328,010000001328,400,9.76,IPA;Kölsch;Session IPA
Juicy Harbor #01329,010000001329,443,9.63,Pale Ale;Wheat
Roasty Monk #01330,010000001330,264,12.80,Gose;Pilsner;Tripel
Smooth Monk #01331,010000001331,219,10.04,Barleywine;Gose
Juicy Comet #01332,010000001332,191,4.33,Brown Ale;IPA
Roasty River #01333,010000001333,173,6.10,Bock;Hefeweizen;Saison
Wild River #01334,010000001334,300,1.96,Porter
Dark River #01335,010000001335,290,9.49,Bock;Pilsner;Wheat
Juicy Oak #01336,010000001336,96,11.21,Tripel
Dry Wolf #01337,010000001337,327,7.72,Sour
Crisp Cloud #01338,010000001338,90,2.14,IPA;Sour;Wheat
Crisp Oak #01339,010000001339,145,5.70,Brown Ale;NEIPA
Crisp Wolf #01340,010000001340,29,9.03,Sour
Smooth Oak #01341,010000001341,200,4.70,Porter
Juicy Oak #01342,010000001342,244,2.89,Barleywine;Porter;Wheat
Wild Oak #01343,010000001343,418,11.21,Barleywine;Kölsch
Wild Forge #01344,010000001344,103,11.78,Amber;IPA;Wheat
Dark Wolf #01345,010000001345,32,9.66,NEIPA;Tripel
Dry Wolf #01346,010000001346,235,10.96,Pilsner
Wild Wolf #01347,010000001347,177,7.58,Barleywine;Hefeweizen;Sour
Golden Harbor #01348,010000001348,460,10.33,Bock;Sour;Stout
Bright Comet #01349,010000001349,122,4.72,Brown Ale;Saison
Crisp Monk #01350,010000001350,465,11.59,Dubbel;Saison;Stout
Crisp Fox #01351,010000001351,258,8.16,Amber;Gose;Sour
Golden Cloud #01352,010000001352,22,10.95,Pilsner
Roasty Oak #01353,010000001353,175,9.66,Bock;Lager
Hoppy Rocket #01354,010000001354,58,4.28,Gose;Session IPA
Roasty Fox #01355,010000001355,42,12.72,Gose;Porter
Roasty Rocket #01356,010000001356,430,4.79,IPA;Stout
Dark Rocket #01357,010000001357,63,12.43,IPA;Pilsner;Sour
Wild Harbor #01358,010000001358,225,8.82,Lager;Wheat
Juicy Monk #01359,010000001359,226,2.46,Bock
Wild Wolf #01360,010000001360,26,1.58,Bock
Golden Monk #01361,010000001361,191,6.37,IPA;Pilsner
Bright Comet #01362,010000001362,7,8.39,Pale Ale;Pilsner
Crisp Harbor #01363,010000001363,370,4.91,Hefeweizen
Juicy Fox #01364,010000001364,417,8.18,Saison;Wheat
Dry Monk #01365,010000001365,478,12.58,Hefeweizen;Pale Ale;Stout
Golden Fox #01366,010000001366,182,8.11,Bock;IPA
Smooth Comet #01367,010000001367,199,5.84,Amber;Pale Ale;Pilsner
Dry River #01368,010000001368,22,2.86,Brown Ale;Hefeweizen
Dry Wolf #01369,010000001369,52,12.47,Amber;Stout
Dry River #01370,010000001370,323,9.44,Sour;Tripel
Smooth Wolf #01371,010000001371,34,8.35,Barleywine
Dry Wolf #01372,010000001372,195,11.95,Kölsch;NEIPA
Hoppy Monk #01373,010000001373,10,4.03,Hefeweizen;Pale Ale
Golden Forge #01374,010000001374,40,2.71,Dubbel;Session IPA
Wild Monk #01375,010000001375,77,9.18,Lager;Pale Ale
Dry Wolf #01376,010000001376,378,8.22,Amber;Tripel
Hoppy Cloud #01377,010000001377,405,9.98,IPA;Pale Ale
Smooth River #01378,010000001378,124,5.70,Pale Ale
Golden Forge #01379,010000001379,446,9.30,Gose;Sour
Hoppy Fox #01380,010000001380,445,11.55,Wheat
Hoppy Harbor #01381,010000001381,480,5.67,Pilsner;Sour
Dry Cloud #01382,010000001382,425,5.67,NEIPA;Pilsner
Bright Wolf #01383,010000001383,159,4.85,Hefeweizen;Pale Ale
Dark Forge #01384,010000001384,127,7.69,Gose;Kölsch
Golden Rocket #01385,010000001385,441,11.34,Dubbel
Bright Oak #01386,010000001386,85,11.13,Barleywine;Hefeweizen;NEIPA
Dark Wolf #01387,010000001387,10,9.30,Brown Ale;Pilsner;Saison
Dark Cloud #01388,010000001388,372,5.08,Bock;Gose
Wild Wolf #01389,010000001389,145,9.17,Pilsner;Porter;Tripel
Roasty Monk #01390,010000001390,79,5.37,IPA
Juicy River #01391,010000001391,251,9.77,Barleywine;Bock;Dubbel
Roasty Rocket #01392,010000001392,328,2.94,Bock;Lager;Stout
Dry Harbor #01393,010000001393,99,10.42,Dubbel;NEIPA
Roasty River #01394,010000001394,356,2.67,Hefeweizen;Kölsch;Pale Ale
Roasty Comet #01395,010000001395,471,8.89,Porter
Wild Forge #01396,010000001396,233,4.50,Kölsch;Pale Ale
Dark Comet #01397,010000001397,59,3.38,Bock;Kölsch;Pilsner
Juicy Monk #01398,010000001398,448,10.15,Amber;Hefeweizen
Wild Cloud #01399,010000001399,495,12.40,Brown Ale;Hefeweizen;Kölsch
Crisp Fox #01400,010000001400,325,8.54,Amber;Wheat
Bright Rocket #01401,010000001401,3,4.93,IPA;Pilsner;Stout
Bright Cloud #01402,010000001402,213,7.39,Barleywine;Dubbel;Sour
Dark Harbor #01403,010000001403,101,11.45,NEIPA;Stout
Roasty Forge #01404,010000001404,416,5.84,Lager;Wheat
Dark Monk #01405,010000001405,132,9.86,Barleywine;Sour;Stout
Crisp Rocket #01406,010000001406,43,9.22,Amber
Crisp River #01407,010000001407,15,6.29,IPA;Session IPA;Stout
Hoppy Rocket #01408,010000001408,384,1.63,Stout
Golden Cloud #01409,010000001409,405,1.63,Amber;Barleywine;NEIPA
Roasty Wolf #01410,010000001410,387,8.39,Barleywine;Dubbel;Tripel
Smooth Monk #01411,010000001411,481,8.88,Bock;Dubbel;Lager
Smooth Fox #01412,010000001412,1,10.84,IPA;Porter;Stout
Juicy Rocket #01413,010000001413,486,6.58,Gose;Session IPA
Juicy Oak #01414,010000001414,338,5.33,Tripel
Hoppy River #01415,010000001415,447,2.42,Gose;Pale Ale
Dry Wolf #01416,010000001416,204,3.15,Hefeweizen;Session IPA
Crisp Oak #01417,010000001417,150,5.48,Kölsch;NEIPA
Juicy Comet #01418,010000001418,65,11.68,Brown Ale
Juicy Wolf #01419,010000001419,86,10.62,Session IPA
Juicy Monk #01420,010000001420,124,5.82,Pilsner;Stout
Bright Comet #01421,010000001421,82,8.17,Amber;Barleywine;Pale Ale
Roasty Fox #01422,010000001422,340,4.27,Pale Ale;Pilsner;Tripel
Dry Forge #01423,010000001423,33,8.51,Bock;Hefeweizen;Saison
Golden Monk #01424,010000001424,132,3.85,Pilsner;Stout
Crisp River #01425,010000001425,379,5.34,Kölsch
Smooth Harbor #01426,010000001426,436,7.90,Brown Ale;IPA;Kölsch
Hoppy Forge #01427,010000001427,274,5.37,Dubbel;Hefeweizen;Tripel
Dark Cloud #01428,010000001428,339,6.03,Bock
Hoppy Cloud #01429,010000001429,436,10.92,Brown Ale;Porter
Golden Wolf #01430,010000001430,348,10.82,Barleywine;Brown Ale
Dark Comet #01431,010000001431,306,8.04,NEIPA;Stout
Wild Forge #01432,010000001432,244,5.90,Bock;Brown Ale;Lager
Smooth Harbor #01433,010000001433,423,5.80,Lager;Sour
Roasty Oak #01434,010000001434,153,4.75,Saison
Bright River #01435,010000001435,216,11.18,Barleywine;Bock
Crisp Cloud #01436,010000001436,372,7.28,Saison;Wheat
Bright Fox #01437,010000001437,67,8.11,Brown Ale
Roasty Harbor #01438,010000001438,295,4.30,Brown Ale;Porter;Session IPA
Golden Monk #01439,010000001439,411,5.49,Dubbel
Dry Fox #01440,010000001440,347,4.51,Hefeweizen;Lager;Sour
Crisp River #01441,010000001441,498,11.19,Lager;Stout
Juicy River #01442,010000001442,303,10.37,Bock;Pale Ale
Hoppy Fox #01443,010000001443,123,9.61,Bock;Brown Ale;Sour
Crisp Wolf #01444,010000001444,442,9.31,Dubbel;Gose
Hoppy Fox #01445,010000001445,59,3.18,Session IPA
Juicy Monk #01446,010000001446,11,11.31,Kölsch;Stout
Dark Oak #01447,010000001447,247,10.37,Kölsch;Porter
Crisp River #01448,010000001448,32,12.49,Bock;IPA
Bright Cloud #01449,010000001449,418,12.47,NEIPA;Pilsner;Saison
Crisp Monk #01450,010000001450,494,3.89,Barleywine;Sour
Hoppy Cloud #01451,010000001451,228,7.92,Lager
Dark Forge #01452,010000001452,105,4.79,Saison
Wild Comet #01453,010000001453,43,4.04,Dubbel;Saison
Dark Oak #01454,010000001454,500,1.49,Brown Ale;Lager
Juicy Rocket #01455,010000001455,337,12.42,Kölsch;Porter;Session IPA
Smooth Cloud #01456,010000001456,466,8.70,Lager;Stout
Golden Comet #01457,010000001457,96,4.39,Porter;Wheat
Dry Cloud #01458,010000001458,110,8.84,Hefeweizen;Porter
Crisp Cloud #01459,010000001459,130,6.82,Bock;Gose;Sour
Crisp Rocket #01460,010000001460,346,10.20,Saison;Wheat
Crisp Rocket #01461,010000001461,324,5.43,Kölsch;NEIPA
Dry Harbor #01462,010000001462,214,4.63,Bock;Hefeweizen
Hoppy Forge #01463,010000001463,126,3.07,Saison;Stout
Crisp Cloud #01464,010000001464,208,2.84,Dubbel;Pilsner
Smooth Rocket #01465,010000001465,74,6.11,IPA;Stout
Bright Monk #01466,010000001466,193,3.64,Sour
Juicy Rocket #01467,010000001467,301,11.51,NEIPA
Smooth Forge #01468,010000001468,443,7.26,Barleywine;Stout
Hoppy Harbor #01469,010000001469,162,9.46,Dubbel;Saison
Juicy Forge #01470,010000001470,451,9.73,Amber;Kölsch;Porter
Hoppy Cloud #01471,010000001471,365,4.67,Bock;Porter
Dry Rocket #01472,010000001472,27,9.07,Barleywine;Hefeweizen
Roasty Harbor #01473,010000001473,224,8.73,Amber;Brown Ale;NEIPA
Bright Cloud #01474,010000001474,482,6.17,Brown Ale;Pilsner
Bright River #01475,010000001475,432,3.33,Pilsner
Golden Fox #01476,010000001476,84,2.66,Brown Ale
Juicy Wolf #01477,010000001477,413,1.70,NEIPA;Porter;Session IPA
Roasty Cloud #01478,010000001478,350,12.39,Bock
Hoppy Forge #01479,010000001479,97,1.63,Dubbel;Pale Ale;Saison
Juicy Forge #01480,010000001480,21,10.67,NEIPA;Pale Ale
Dark Fox #01481,010000001481,187,4.22,Hefeweizen;Lager
Roasty Oak #01482,010000001482,87,9.13,Tripel
Golden Cloud #01483,010000001483,435,3.90,Brown Ale;Session IPA
Wild Rocket #01484,010000001484,109,1.53,Brown Ale;NEIPA;Wheat
Hoppy Wolf #01485,010000001485,456,11.48,Dubbel
Hoppy Forge #01486,010000001486,235,8.21,Dubbel;Stout
Hoppy River #01487,010000001487,455,5.30,Dubbel;IPA;Stout
Bright Wolf #01488,010000001488,101,3.22,Hefeweizen;Stout
Roasty Comet #01489,010000001489,79,6.61,Bock;Session IPA
Smooth Rocket #01490,010000001490,186,10.26,Amber;Saison
Crisp Wolf #01491,010000001491,336,10.48,Dubbel;Porter
Bright Comet #01492,010000001492,183,5.55,Wheat
Wild Comet #01493,010000001493,68,9.57,Lager;Sour;Tripel
Golden Wolf #01494,010000001494,491,6.93,Hefeweizen
Roasty Cloud #01495,010000001495,253,4.09,Bock;NEIPA
Bright Harbor #01496,010000001496,56,3.69,Porter
Dark River #01497,010000001497,256,1.76,Lager;Tripel
Bright Forge #01498,010000001498,377,1.65,Brown Ale;Kölsch;Session IPA
Roasty Fox #01499,010000001499,389,10.27,Barleywine;Porter
Juicy Harbor #01500,010000001500,127,7.24,Amber
Golden Oak #01501,010000001501,101,11.19,NEIPA
Dry Harbor #01502,010000001502,96,4.53,Porter;Stout
Bright Comet #01503,010000001503,140,5.42,Hefeweizen;IPA
Dry Monk #01504,010000001504,46,2.53,Brown Ale;Hefeweizen;NEIPA
Golden Monk #01505,010000001505,172,10.21,Hefeweizen;Lager;NEIPA
Hoppy Rocket #01506,010000001506,56,7.00,Amber;Dubbel
Bright Monk #01507,010000001507,163,2.46,IPA;Lager
Hoppy River #01508,010000001508,108,7.33,Amber;Hefeweizen;Stout
Dark Rocket #01509,010000001509,485,11.55,Brown Ale;Tripel
Crisp Fox #01510,010000001510,342,1.76,Dubbel;Tripel
Smooth Forge #01511,010000001511,270,9.10,Amber;Wheat
Dry Oak #01512,010000001512,44,3.66,Barleywine;Stout
Hoppy Forge #01513,010000001513,495,5.39,Gose;Stout
Crisp Cloud #01514,010000001514,316,8.51,Session IPA;Wheat
Juicy Harbor #01515,010000001515,22,4.10,Hefeweizen;Saison
Wild Cloud #01516,010000001516,499,8.60,Gose;Stout
Bright Fox #01517,010000001517,247,10.07,Sour
Dry Rocket #01518,010000001518,356,4.13,Kölsch;Lager
Hoppy Monk #01519,010000001519,379,9.63,NEIPA;Pilsner;Saison
Dark Wolf #01520,010000001520,384,11.92,Bock;Kölsch;Saison
Dry Rocket #01521,010000001521,105,5.25,Sour
Dry Monk #01522,010000001522,303,1.67,Amber;Barleywine;NEIPA
Wild Monk #01523,010000001523,151,6.98,Sour
Golden Comet #01524,010000001524,273,6.36,Lager;Porter
Wild Harbor #01525,010000001525,138,2.54,Saison;Wheat
Crisp Comet #01526,010000001526,332,8.60,Pilsner;Tripel
Juicy Rocket #01527,010000001527,369,4.22,Barleywine;Brown Ale;Tripel
Hoppy Comet #01528,010000001528,421,8.77,Amber;Sour
Wild Comet #01529,010000001529,275,3.66,Amber;Saison;Wheat
Roasty Monk #01530,010000001530,166,6.99,Bock;Kölsch
Dark Wolf #01531,010000001531,118,10.37,Porter;Session IPA
Crisp Wolf #01532,010000001532,92,10.89,Sour;Wheat
Dry Wolf #01533,010000001533,482,5.18,Brown Ale;IPA
Dark Harbor #01534,010000001534,418,9.56,Pilsner;Porter
Crisp Oak #01535,010000001535,125,10.80,NEIPA;Porter;Stout
Hoppy Forge #01536,010000001536,51,9.22,Barleywine;IPA;Stout
Hoppy Harbor #01537,010000001537,127,3.20,IPA;Porter
Hoppy Fox #01538,010000001538,277,8.42,Wheat
Dark Wolf #01539,010000001539,388,10.58,Brown Ale;Tripel
Roasty Harbor #01540,010000001540,124,2.63,Saison;Stout
Hoppy Comet #01541,010000001541,52,12.64,NEIPA;Stout
Bright Harbor #01542,010000001542,0,6.08,Pale Ale
Bright Oak #01543,010000001543,75,8.72,Bock;Pale Ale
Crisp Wolf #01544,010000001544,86,3.74,Brown Ale;Stout
Smooth Fox #01545,010000001545,315,8.32,Dubbel
Crisp Comet #01546,010000001546,309,4.58,Hefeweizen;NEIPA
Smooth Forge #01547,010000001547,92,10.19,Barleywine;Brown Ale
Smooth Fox #01548,010000001548,138,11.71,Amber;Pilsner
Hoppy Harbor #01549,010000001549,398,4.49,Bock;Porter
Roasty Wolf #01550,010000001550,417,2.86,Kölsch
Bright Rocket #01551,010000001551,74,3.34,Porter;Sour
Bright River #01552,010000001552,163,11.61,Hefeweizen;Session IPA;Tripel
Dark Monk #01553,010000001553,196,10.06,Barleywine;Saison;Session IPA
Juicy Cloud #01554,010000001554,420,6.20,Hefeweizen;Kölsch;Pilsner
Juicy Forge #01555,010000001555,397,5.98,Pale Ale
Smooth Comet #01556,010000001556,104,1.84,Saison;Session IPA
Dark Fox #01557,010000001557,30,8.64,Brown Ale;Porter
Roasty Harbor #01558,010000001558,427,12.78,Barleywine;Pale Ale;Wheat
Hoppy Harbor #01559,010000001559,60,4.42,Dubbel;Hefeweizen;IPA
Hoppy Fox #01560,010000001560,339,3.00,Barleywine;IPA;Sour
Dark River #01561,010000001561,72,3.10,IPA;Pilsner
Dry Oak #01562,010000001562,76,5.22,Brown Ale;NEIPA;Porter
Roasty Oak #01563,010000001563,369,8.39,Brown Ale;IPA;Stout
Dark Comet #01564,010000001564,451,2.14,NEIPA;Sour
Hoppy Oak #01565,010000001565,426,10.16,Amber;NEIPA;Saison
Wild Monk #01566,010000001566,216,4.70,NEIPA;Pilsner
Bright Harbor #01567,010000001567,380,5.82,Barleywine;Lager;Pale Ale
Bright Harbor #01568,010000001568,421,12.94,Gose
Roasty River #01569,010000001569,334,9.78,Dubbel;Lager;Sour
Bright Monk #01570,010000001570,138,3.71,Pilsner
Smooth Forge #01571,010000001571,398,8.36,Pale Ale
Wild Harbor #01572,010000001572,277,3.67,Wheat
Dry Comet #01573,010000001573,387,7.82,Saison;Wheat
Hoppy Monk #01574,010000001574,137,3.23,Kölsch
Roasty Comet #01575,010000001575,24,7.93,Brown Ale
Hoppy River #01576,010000001576,384,7.27,NEIPA;Tripel;Wheat
Bright River #01577,010000001577,498,4.14,Tripel
Bright Cloud #01578,010000001578,51,11.77,IPA;Kölsch
Bright Wolf #01579,010000001579,300,2.25,Porter;Sour
Roasty Fox #01580,010000001580,453,3.40,Porter;Wheat
Dark Cloud #01581,010000001581,264,12.20,Gose;Porter
Smooth Rocket #01582,010000001582,184,10.31,Bock
Golden Monk #01583,010000001583,312,3.02,Kölsch;Session IPA
Crisp Comet #01584,010000001584,73,7.82,Session IPA
Crisp Wolf #01585,010000001585,160,4.96,Pilsner;Sour
Wild Forge #01586,010000001586,186,8.72,Pilsner
Dark Wolf #01587,010000001587,132,11.18,Gose;Porter
Crisp Forge #01588,010000001588,249,2.30,Bock;Brown Ale
Bright Forge #01589,010000001589,469,4.13,Dubbel;NEIPA;Tripel
Smooth Fox #01590,010000001590,349,9.95,Amber;Kölsch;Lager
Golden Cloud #01591,010000001591,4,4.65,Brown Ale
Bright Harbor #01592,010000001592,291,9.66,Pale Ale
Bright Wolf #01593,010000001593,342,3.40,Barleywine;Gose
Juicy Wolf #01594,010000001594,55,3.24,Bock;Stout
Bright Monk #01595,010000001595,205,8.22,Tripel
Smooth Forge #01596,010000001596,248,5.84,Amber;Gose;Stout
Hoppy Cloud #01597,010000001597,79,11.11,Tripel;Wheat
Dry Comet #01598,010000001598,307,9.27,Dubbel
Bright Wolf #01599,010000001599,109,2.59,Hefeweizen;IPA
Wild Rocket #01600,010000001600,325,5.09,Porter
Crisp Rocket #01601,010000001601,207,3.16,Gose;Hefeweizen
Juicy Monk #01602,010000001602,342,6.80,Lager;Pilsner
Bright River #01603,010000001603,493,7.57,Dubbel;Wheat
Bright Wolf #01604,010000001604,243,12.45,Dubbel;Hefeweizen
Dry Oak #01605,010000001605,421,1.69,Kölsch;Pilsner
Dry Harbor #01606,010000001606,165,7.97,Porter
Roasty Harbor #01607,010000001607,255,7.97,Hefeweizen
Wild Cloud #01608,010000001608,369,1.56,Gose;Porter;Stout
Hoppy Monk #01609,010000001609,381,5.33,Bock;Saison;Sour
Golden River #01610,010000001610,107,5.40,Dubbel
Smooth Comet #01611,010000001611,154,7.77,Session IPA
Roasty Oak #01612,010000001612,210,8.69,Hefeweizen;Saison
Juicy River #01613,010000001613,58,5.09,Dubbel;Hefeweizen;Sour
Juicy Forge #01614,010000001614,83,12.60,Bock;Brown Ale;Hefeweizen
Wild Forge #01615,010000001615,480,3.52,Stout
Crisp Comet #01616,010000001616,315,9.91,Session IPA
Dry Cloud #01617,010000001617,51,10.58,Brown Ale
Bright Monk #01618,010000001618,114,10.80,Session IPA;Stout;Wheat
Crisp River #01619,010000001619,495,10.99,Bock;Dubbel;IPA
Golden Cloud #01620,010000001620,145,6.97,Brown Ale;Hefeweizen
Golden Comet #01621,010000001621,460,9.98,IPA
Hoppy Harbor #01622,010000001622,404,9.15,Sour;Tripel
Dry Oak #01623,010000001623,123,12.87,Bock;Lager;Wheat
Dry Oak #01624,010000001624,65,9.48,Bock;Tripel
Juicy Harbor #01625,010000001625,223,6.22,Porter
Juicy Fox #01626,010000001626,323,9.51,Saison;Sour
Smooth Monk #01627,010000001627,47,3.40,Hefeweizen
Hoppy Forge #01628,010000001628,78,2.05,Kölsch
Bright Comet #01629,010000001629,380,4.16,Dubbel;Pale Ale;Sour
Golden Rocket #01630,010000001630,99,12.45,Amber;Bock
Hoppy Rocket #01631,010000001631,42,4.43,Kölsch
Crisp Fox #01632,010000001632,235,4.00,Porter
Wild Rocket #01633,010000001633,458,5.18,Pilsner
Roasty River #01634,010000001634,467,5.74,IPA;Session IPA;Stout
Bright Fox #01635,010000001635,249,3.05,Bock;Hefeweizen
Smooth Wolf #01636,010000001636,413,4.78,Brown Ale;IPA
Dark Forge #01637,010000001637,323,2.13,Tripel
Smooth Wolf #01638,010000001638,314,12.68,Sour
Juicy Rocket #01639,010000001639,474,3.98,Barleywine;IPA
Juicy Comet #01640,010000001640,265,11.97,Dubbel;Wheat
Crisp Monk #01641,010000001641,15,8.19,Pale Ale;Pilsner
Dark Rocket #01642,010000001642,140,11.35,Dubbel;Pilsner
Juicy Rocket #01643,010000001643,239,11.64,Bock;NEIPA;Wheat
Wild Harbor #01644,010000001644,101,7.24,Brown Ale;Kölsch;Stout
Dark Monk #01645,010000001645,488,11.48,Amber;Gose;Hefeweizen
Smooth Forge #01646,010000001646,55,9.33,Dubbel;Kölsch;Wheat
Smooth Fox #01647,010000001647,230,4.91,NEIPA
Wild Forge #01648,010000001648,209,7.50,Bock;IPA
Crisp Harbor #01649,010000001649,414,8.09,Dubbel;Pale Ale;Sour
Crisp Monk #01650,010000001650,336,9.10,Porter;Tripel
Crisp Comet #01651,010000001651,163,1.71,Gose;Wheat
Dry River #01652,010000001652,460,6.25,Bock
Wild Forge #01653,010000001653,108,12.28,Saison;Stout
Wild Forge #01654,010000001654,484,3.02,Hefeweizen;Kölsch;Tripel
Golden Monk #01655,010000001655,25,11.60,Amber;Hefeweizen;Lager
Crisp Fox #01656,010000001656,231,4.99,Bock;Kölsch
Golden Forge #01657,010000001657,10,7.32,Kölsch
Hoppy Wolf #01658,010000001658,145,4.17,Lager;NEIPA;Saison
Hoppy River #01659,010000001659,330,1.82,Session IPA
